date,country,energy_consumption,renewable_share
2020-01-01,Turkey,684709.92,37.26560326789256
2020-01-02,Turkey,847302.41,45.03115087692271
2020-01-03,Turkey,865973.49,39.83162937471098
2020-01-04,Turkey,829433.44,32.866617648833206
2020-01-05,Turkey,748317.48,33.188627251925006
2020-01-06,Turkey,887804.38,42.85666383084494
2020-01-07,Turkey,895241.79,40.679344085761905
2020-01-08,Turkey,898365.05,40.23805281482966
2020-01-09,Turkey,892108.7,38.59887028541781
2020-01-10,Turkey,876909.29,33.39305987646369
2020-01-11,Turkey,821203.77,27.908805596219032
2020-01-12,Turkey,746468.33,29.245919223966105
2020-01-13,Turkey,852470.62,32.01992074289699
2020-01-14,Turkey,872791.76,29.158785681602296
2020-01-15,Turkey,872529.74,29.726692976282255
2020-01-16,Turkey,878883.2,35.07493489435009
2020-01-17,Turkey,886715.9299999999,38.52948966652118
2020-01-18,Turkey,835114.66,33.54957356719308
2020-01-19,Turkey,747731.99,32.88073415639413
2020-01-20,Turkey,877987.52,37.68720559616594
2020-01-21,Turkey,890608.89,37.16611293655859
2020-01-22,Turkey,872373.48,34.24283728915445
2020-01-23,Turkey,883943.89,34.01086642016491
2020-01-24,Turkey,872097.09,33.59691188707032
2020-01-25,Turkey,811332.31,29.76163342822989
2020-01-26,Turkey,720613.67,29.017625877116533
2020-01-27,Turkey,841879.57,31.378617334372578
2020-01-28,Turkey,866572.36,30.966555325551344
2020-01-29,Turkey,860138.5599999999,31.319999824688914
2020-01-30,Turkey,876989.35,32.367544294643736
2020-01-31,Turkey,859002.66,31.267989376291755
2020-02-01,Turkey,806502.33,30.515585286882313
2020-02-02,Turkey,713143.56,31.914794152477498
2020-02-03,Turkey,829332.05,37.23648914629638
2020-02-04,Turkey,855879.93,35.92329684810946
2020-02-05,Turkey,866223.14,41.120072215731525
2020-02-06,Turkey,865372.31,40.10157340614217
2020-02-07,Turkey,885231.24,44.40364033374607
2020-02-08,Turkey,847526.39,51.05341173727738
2020-02-09,Turkey,756640.91,46.86652353080172
2020-02-10,Turkey,879051.42,41.4332951892529
2020-02-11,Turkey,903708.74,43.758696483567554
2020-02-12,Turkey,907224.11,39.86539453446397
2020-02-13,Turkey,889242.69,39.583368047659334
2020-02-14,Turkey,879304.58,37.24316562354094
2020-02-15,Turkey,845467.39,43.430254325814346
2020-02-16,Turkey,742759.35,55.76614659559771
2020-02-17,Turkey,837514.78,44.04207106205752
2020-02-18,Turkey,848395.35,39.09283256666789
2020-02-19,Turkey,844720.03,37.752321117088776
2020-02-20,Turkey,855440.93,39.833293722705626
2020-02-21,Turkey,874134.77,47.03680640058746
2020-02-22,Turkey,834455.12,47.40968614814254
2020-02-23,Turkey,735275.35,50.17595379533508
2020-02-24,Turkey,828009.71,43.40173008875423
2020-02-25,Turkey,824913.04,42.6838657835005
2020-02-26,Turkey,808300.65,52.211480570767336
2020-02-27,Turkey,825594.51,54.46456271538245
2020-02-28,Turkey,823325.47,47.67753308183643
2020-02-29,Turkey,811958.31,49.67351775689673
2020-03-01,Turkey,705723.8,50.10892842259601
